n,t_mean,t_std,q
1,3.8000000000000007e-07,1.2292725943057185e-07,0.614116122802116
2,9.6e-07,1.7126976771553495e-07,0.7757256288026727
3,2.0599999999999998e-06,4.857983120596448e-07,0.8322889559028676
4,6.759999999999999e-06,8.579044235810885e-07,1.365600325704705
5,1.1540000000000003e-05,7.589466384404112e-07,1.1656085620290164
6,3.7829999999999995e-05,2.5733894639819553e-06,1.9105273787503325
7,5.0679999999999996e-05,4.889398963290093e-06,1.2797452756419092
8,8.280000000000001e-05,7.227109457529419e-06,1.0454114919411022
9,0.00012885000000000001,1.6352030115214615e-06,0.813413470631709
10,0.00030524,4.667371851481303e-05,0.9634704221017573
11,0.0005268100000000001,5.039940475838979e-06,0.8314209360952476
12,0.00140126,0.0003526852773917404,1.1057467596598647
13,0.00244635,0.0006919167134369087,0.9652182983507378
14,0.00589184,0.0017343925546939416,1.1623258689383797
15,0.012351700000000002,0.003445219456967388,1.2183545747479725
16,0.02008774,0.0058670344091561475,0.9907134210411455
17,0.040552069999999996,0.010273891206792096,1.0
18,0.07717629,0.0187248663316665,0.9515702897533961
19,0.13589219999999996,0.03027685599705932,0.837763645604281
20,0.22340110000000002,0.04337863709105874,0.6886242181965065
21,0.38361490000000004,0.0581226578069555,0.5912381599755575
22,0.7159930999999999,0.07639321991068461,0.5517544326343884
23,1.258848,0.10310041726394713,0.485043056988213
24,2.1060290000000004,0.21779928795159603,0.40573395051103445
25,3.793534,0.4600354519720314,0.3654188845970132
26,5.358859000000001,0.8733438195738138,0.2581007944693083
27,7.080251,0.7104967300174968,0.17050443090050643
28,10.703339,1.587635465376454,0.12887726190287574
29,15.537090000000001,1.8476961826074718,0.09353985784896432
30,24.04103,2.0011447007761443,0.07236858796411318
31,36.44602999999999,5.1400346842863485,0.05485513158125312
32,47.49943,5.128967035714349,0.03574583408240242
33,81.26631,8.653727958060097,0.030578598877387383
34,107.88471,19.882886608027185,0.020297238007319782
35,155.6082,23.399088362108845,0.0146379253894765
